demand,month,price,region,sales,revenue,weekly_demand,storage_dist,grove_dist,weekly_transp_cost,weekly_storage_build,weekly_storage_maint,raw_material_cost,profit
4110,Oct,1.27272727273,MW,4110,10461818.1818406,1027.5,368.5909,1470,786766.0797,128437.5,638914.0625,1345142.84113334,7562557.69850726
2386,Nov,1.54545454545,MW,2386,7374909.0908874,596.5,368.5909,1470,456745.46622,74562.5,633077.604166667,780902.875655514,5429620.64484522
1918,Dec,1.81818181818,MW,1918,6974545.45453848,479.5,368.5909,1470,367157.50386,59937.5,631493.229166667,627733.325862228,5288223.89564958
1027,Jan,2.09090909091,MW,1027,4294727.27272914,256.75,368.5909,1470,196595.80629,32093.75,628476.822916667,336122.067601933,3101438.82592054
900,Feb,2.36363636364,MW,900,4254545.454552,225,368.5909,1470,172284.543,28125,628046.875,294556.82652555,3131532.21002645
861,Mar,2.63636363636,MW,861,4539818.18181192,215.25,368.5909,1470,164818.87947,26906.25,627914.84375,281792.697376109,3438385.51121581
689,Apr,2.90909090909,MW,689,4008727.27272602,172.25,368.5909,1470,131893.38903,21531.25,627332.552083333,225499.614973449,3002470.46663924
602,May,3.18181818182,MW,602,3830909.09091128,150.5,368.5909,1470,115239.21654,18812.5,627038.020833333,197025.788409312,2872793.56512863
499,Jun,3.45454545455,MW,499,3447636.3636409,124.75,368.5909,1470,95522.20773,15593.75,626689.322916667,163315.396040277,2546515.68695396
396,Jul,3.72727272727,MW,396,2951999.99999784,99,368.5909,1470,75805.19892,12375,626340.625,129605.003671242,2107874.1724066
293,Aug,4,MW,293,2344000,73.25,368.5909,1470,56088.19011,9156.25,625991.927083333,95894.6113022068,1556869.02150446
3164,Sep,1,DS,3164,6328000,791,413.375,266,438664.87,98875,635711.458333333,1196692.99872869,3958055.67293797
2133,Oct,1.27272727273,DS,2133,5429454.54546618,533.25,413.375,266,295724.4525,66656.25,632221.09375,806746.575944469,3628106.17327171
1536,Nov,1.54545454545,DS,1536,4747636.3636224,384,413.375,266,212954.88,48000,630200,580948.30785312,3275533.17576928
1112,Dec,1.81818181818,DS,1112,4043636.36363232,278,413.375,266,154170.46,34750,628764.583333333,420582.368706165,2805368.95159282
575,Jan,2.09090909091,DS,575,2404545.4545465,143.75,413.375,266,79719.4375,17968.75,626946.614583333,217477.393890328,1462433.25857284
509,Feb,2.36363636364,DS,509,2406181.81818552,127.25,413.375,266,70569.0325,15906.25,626723.177083333,192514.771287264,1500468.58731492
417,Mar,2.63636363636,DS,417,2198727.27272424,104.25,413.375,266,57813.9225,13031.25,626411.71875,157718.388264812,1343751.99320943
356,Apr,2.90909090909,DS,356,2071272.72727208,89,413.375,266,49356.73,11125,626205.208333333,134646.873434707,1249938.91550404
312,May,3.18181818182,DS,312,1985454.54545568,78,413.375,266,43256.46,9750,626056.25,118005.125032665,1188386.71042302
254,Jun,3.45454545455,DS,254,1754909.0909114,63.5,413.375,266,35215.195,7937.5,625859.895833333,96068.2748663363,989828.22521173
216,Jul,3.72727272727,DS,216,1610181.81818064,54,413.375,266,29946.78,6750,625731.25,81695.855791845,866057.932388795
180,Aug,4,DS,180,1440000,45,413.375,266,24955.65,5625,625609.375,68079.8798265375,715730.095173463
1512,Sep,1,NW,1512,3024000,378,659.125,176,313615.26,47250,630118.75,546730.294499361,1486285.69550064
1158,Oct,1.27272727273,NW,1158,2947636.36364268,289.5,659.125,176,240189.465,36187.5,628920.3125,418725.979517368,1623613.10662531
639,Nov,1.54545454545,NW,639,1975090.9090851,159.75,659.125,176,132539.7825,19968.75,627163.28125,231058.636365801,964360.458969299
541,Dec,1.81818181818,NW,541,1967272.72727076,135.25,659.125,176,112212.8675,16906.25,626831.510416667,195622.413574176,1015699.68577992
464,Jan,2.09090909091,NW,464,1940363.63636448,116,659.125,176,96241.72,14500,626570.833333333,167779.667095042,1035271.4159361
330,Feb,2.36363636364,NW,330,1560000.0000024,82.5,659.125,176,68447.775,10312.5,626117.1875,119326.056339146,735796.481163254
259,Mar,2.63636363636,NW,259,1365636.36363448,64.75,659.125,176,53721.1325,8093.75,625876.822916667,93652.8745207239,584291.783697089
216,Apr,2.90909090909,NW,216,1256727.27272688,54,659.125,176,44802.18,6750,625731.25,78104.327785623,501339.514941257
188,May,3.18181818182,NW,188,1196363.63636432,47,659.125,176,38994.49,5875,625636.458333333,67979.6927023015,457877.995328685
152,Jun,3.45454545455,NW,152,1050181.8181832,38,659.125,176,31527.46,4750,625514.583333333,54962.304738031,333427.470111836
129,Jul,3.72727272727,NW,129,961636.36363566,32.25,659.125,176,26756.8575,4031.25,625436.71875,46645.6402053026,258765.897180357
117,Aug,4,NW,117,936000,29.25,659.125,176,24267.8475,3656.25,625396.09375,42306.5108838791,240373.297866121
2277,Sep,1,SW,2277,4554000,569.25,659,176,472204.26,71156.25,632708.59375,823349.788740109,2554581.10750989
1510,Oct,1.27272727273,SW,1510,3843636.3636446,377.5,659,176,313143.8,47187.5,630111.979166667,546007.106279124,2307185.97819881
1302,Nov,1.54545454545,SW,1302,4024363.6363518,325.5,659,176,270008.76,40687.5,629407.8125,470795.53137445,2613464.03247735
760,Dec,1.81818181818,SW,760,2763636.3636336,190,659,176,157608.8,23750,627572.916666667,274811.523690155,1679893.12327678
489,Jan,2.09090909091,SW,489,2044909.09090998,122.25,659,176,101408.82,15281.25,626655.46875,176819.519848008,1124744.03231197
370,Feb,2.36363636364,SW,370,1749090.9090936,92.5,659,176,76730.6,11562.5,626252.604166667,133789.820743891,900755.384183042
355,Mar,2.63636363636,SW,355,1871818.1818156,88.75,659,176,73619.9,11093.75,626201.822916667,128365.909092112,1032536.79980682
362,Apr,2.90909090909,SW,362,2106181.81818116,90.5,659,176,75071.56,11312.5,626225.520833333,130897.067862942,1262675.16948488
293,May,3.18181818182,SW,293,1864545.45454652,73.25,659,176,60762.34,9156.25,625991.927083333,105947.074264757,1062687.86319843
212,Jun,3.45454545455,SW,212,1464727.2727292,53,659,176,43964.56,6625,625717.708333333,76657.9513451485,711762.053050718
169,Jul,3.72727272727,SW,169,1259818.18181726,42.25,659,176,35047.22,5281.25,625572.135416667,61109.4046100476,532808.171790546
165,Aug,4,SW,165,1320000,41.25,659,176,34217.7,5156.25,625558.59375,59663.0281695731,595404.428080427
