demand,month,price,region,sales,revenue,weekly_demand,storage_dist,g_p_dist,p_s_dist,num_tanker_cars_needed,tanker_car_weekly_purchase_cost,tanker_car_weekly_travel_cost,g_p_weekly_cost,storage_market_weekly_cost,weekly_proc_build,weekly_proc_maint,manufacturing_cost,raw_material_cost,profit
125,Nov,3.45454545455,NW,125,863636.3636375,31.25,659.125,351,393,1.04166666666667,2170.13888888889,14737.5,2413.125,24717.1875,5208.33333333333,668294.270833333,62500,45199.2637648281,38396.5443171163
126,Dec,3.18181818182,NW,126,801818.18181864,31.5,659.125,351,393,1.05,2187.5,14855.4,2432.43,24914.925,5250,668307.291666667,63000,45560.8578749468,-24690.2227229734
229,Jan,2.90909090909,NW,229,1332363.63636322,57.25,659.125,351,393,1.90833333333333,3975.69444444444,26999.1,4420.845,45281.8875,9541.66666666667,669648.4375,114500,82805.0512171651,375190.954034944
261,Feb,2.63636363636,NW,261,1376181.81817992,65.25,659.125,351,393,2.175,4531.25,30771.9,5038.605,51609.4875,10875,670065.104166667,130500,94376.0627409611,378414.408772292
295,Mar,2.36363636364,NW,295,1394545.4545476,73.75,659.125,351,393,2.45833333333333,5121.52777777778,34780.5,5694.975,58332.5625,12291.6666666667,670507.8125,147500,106670.262484994,353646.147618161
0,Apr,2.09090909091,NW,317.430729376,0,0,659.125,351,393,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,May,1.81818181818,NW,342.025538399,0,0,659.125,351,393,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jun,1.54545454545,NW,234.493298496,0,0,659.125,351,393,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jul,1.27272727273,NW,353.854314779,0,0,659.125,351,393,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Aug,1,NW,231.929417601,0,0,659.125,351,393,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
204,Sep,4,SW,102,1632000,51,659,351,393,1.7,3541.66666666667,24051.6,3938.22,40330.8,8500,669322.916666667,102000,73765.1984641995,706549.598202467
195,Oct,3.72727272727,SW,195,1453636.3636353,48.75,659,351,393,1.625,3385.41666666667,22990.5,3764.475,38551.5,8125,669205.729166667,97500,70510.8514731319,539602.891328835
199,Nov,3.45454545455,SW,199,1374909.0909109,49.75,659,351,393,1.65833333333333,3454.86111111111,23462.1,3841.695,39342.3,8291.66666666667,669257.8125,99500,71957.2279136064,455801.427719516
288,Dec,3.18181818182,SW,288,1832727.27272832,72,659,351,393,2.4,5000,33955.2,5559.84,56937.6,12000,670416.666666667,144000,104139.103714164,800718.862347489
295,Jan,2.90909090909,SW,295,1716363.6363631,73.75,659,351,393,2.45833333333333,5121.52777777778,34780.5,5694.975,58321.5,12291.6666666667,670507.8125,147500,106670.262484994,675475.391933661
460,Feb,2.63636363636,SW,460,2425454.5454512,115,659,351,393,3.83333333333333,7986.11111111111,54234,8880.3,90942,19166.6666666667,672656.25,230000,166333.290654568,1175255.92701885
548,Mar,2.36363636364,SW,548,2590545.45454944,137,659,351,393,4.56666666666667,9513.88888888889,64609.2,10579.14,108339.6,22833.3333333333,673802.083333333,274000,198153.572345007,1228714.63664888
0,Apr,2.09090909091,SW,678.329001947,0,0,659,351,393,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,May,1.81818181818,SW,583.630369172,0,0,659,351,393,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jun,1.54545454545,SW,295.661374312,0,0,659,351,393,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jul,1.27272727273,SW,598.316459173,0,0,659,351,393,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Aug,1,SW,335.880303891,0,0,659,351,393,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
