leftover,product,storage,t
-38.5291575787,ROJ,S35,19.0
-99.3598213538,FCOJ,S35,19.0
-31.8205638059,ORA,S73,19.0
-42.3762255496,POJ,S73,19.0
-43.6161944543,ROJ,S73,19.0
-2.28790599001,FCOJ,S73,19.0
-34.273425715,ORA,S59,19.0
-46.7903800743,POJ,S59,19.0
-57.8913840769,ROJ,S59,19.0
-48.6062143027,FCOJ,S59,19.0
-64.9590082122,ORA,S51,19.0
-122.383459385,POJ,S51,19.0
-74.3999848697,ROJ,S51,19.0
-105.578440522,FCOJ,S51,19.0
-36.0628093977,ORA,S35,20.0
-34.5984276694,POJ,S35,20.0
-39.2970618104,ROJ,S35,20.0
-93.5251207303,FCOJ,S35,20.0
-36.6123302406,ORA,S73,20.0
-40.3035561204,POJ,S73,20.0
-46.6542780958,ROJ,S73,20.0
1.58154735012,FCOJ,S73,20.0
-23.6023474396,ORA,S59,20.0
-49.2048412185,POJ,S59,20.0
-53.2916755558,ROJ,S59,20.0
-44.4743492393,FCOJ,S59,20.0
-72.6151007244,ORA,S51,20.0
-114.868272604,POJ,S51,20.0
-68.6008899271,ROJ,S51,20.0
-190.719231461,FCOJ,S51,20.0
-44.3208554827,ORA,S35,21.0
-36.1487962007,POJ,S35,21.0
-35.4637521787,ROJ,S35,21.0
-79.5010087608,FCOJ,S35,21.0
-39.2332061799,ORA,S73,21.0
-38.1476781163,POJ,S73,21.0
-50.8921683234,ROJ,S73,21.0
-30.6165726178,FCOJ,S73,21.0
-23.0714701486,ORA,S59,21.0
-47.3195917859,POJ,S59,21.0
-59.2315535652,ROJ,S59,21.0
-50.4940071763,FCOJ,S59,21.0
-94.2631368528,ORA,S51,21.0
-117.210170609,POJ,S51,21.0
-81.552523575,ROJ,S51,21.0
-148.499450521,FCOJ,S51,21.0
-44.9488581749,ORA,S35,22.0
-39.0080377204,POJ,S35,22.0
-35.0145693551,ROJ,S35,22.0
-84.0571683994,FCOJ,S35,22.0
-36.0460687455,ORA,S73,22.0
-41.4819252098,POJ,S73,22.0
-55.3254003812,ROJ,S73,22.0
4.18511901868,FCOJ,S73,22.0
-30.8980935947,ORA,S59,22.0
-46.2737592716,POJ,S59,22.0
-51.2085585306,ROJ,S59,22.0
-50.6101866607,FCOJ,S59,22.0
-76.1788602972,ORA,S51,22.0
-115.140538237,POJ,S51,22.0
-66.6621973191,ROJ,S51,22.0
-157.142548115,FCOJ,S51,22.0
-44.2897023488,ORA,S35,23.0
-38.428352155,POJ,S35,23.0
-40.3534024314,ROJ,S35,23.0
-79.8534347615,FCOJ,S35,23.0
-44.0663334035,ORA,S73,23.0
-37.8770644449,POJ,S73,23.0
-51.5730698208,ROJ,S73,23.0
-27.2749280205,FCOJ,S73,23.0
-30.4528081912,ORA,S59,23.0
-129.472160905,POJ,S59,23.0
-52.5716015064,ROJ,S59,23.0
-107.10803646,FCOJ,S59,23.0
-76.2032743295,ORA,S51,23.0
-116.395717815,POJ,S51,23.0
-82.6348465989,ROJ,S51,23.0
-171.577823925,FCOJ,S51,23.0
-44.7735034787,ORA,S35,24.0
-40.000347308,POJ,S35,24.0
-36.5194474699,ROJ,S35,24.0
-68.4016208992,FCOJ,S35,24.0
-42.4879257216,ORA,S73,24.0
-34.6454271388,POJ,S73,24.0
-47.8056251987,ROJ,S73,24.0
6.2599230096,FCOJ,S73,24.0
-30.7301902846,ORA,S59,24.0
3.03405620858,POJ,S59,24.0
-74.7188428067,ROJ,S59,24.0
-11.2989485538,FCOJ,S59,24.0
-72.529575135,ORA,S51,24.0
-112.415629745,POJ,S51,24.0
-76.4188758027,ROJ,S51,24.0
-163.460259356,FCOJ,S51,24.0
-42.4950253771,ORA,S35,25.0
-34.1514661737,POJ,S35,25.0
-37.5277710714,ROJ,S35,25.0
-67.7395290662,FCOJ,S35,25.0
-34.1842843654,ORA,S73,25.0
-35.9813301344,POJ,S73,25.0
-46.8900488908,ROJ,S73,25.0
-0.23029688691,FCOJ,S73,25.0
-43.389878951,ORA,S59,25.0
-43.5319328179,POJ,S59,25.0
-47.1466128158,ROJ,S59,25.0
-45.2307663075,FCOJ,S59,25.0
-98.4508874168,ORA,S51,25.0
-109.654991264,POJ,S51,25.0
-71.9097366596,ROJ,S51,25.0
-178.312266166,FCOJ,S51,25.0
-37.6362476421,ORA,S35,26.0
-38.568007226,POJ,S35,26.0
-31.8538275076,ROJ,S35,26.0
-61.8266510103,FCOJ,S35,26.0
-40.8835257818,ORA,S73,26.0
-37.8912297673,POJ,S73,26.0
-49.7546002823,ROJ,S73,26.0
0.0391404523911,FCOJ,S73,26.0
-28.4543130163,ORA,S59,26.0
-47.793133158,POJ,S59,26.0
-61.263255772,ROJ,S59,26.0
-44.8243506091,FCOJ,S59,26.0
-84.5881221865,ORA,S51,26.0
-114.607880496,POJ,S51,26.0
-67.7542166926,ROJ,S51,26.0
-153.630038074,FCOJ,S51,26.0
-34.5932083627,ORA,S35,27.0
