R,obj
469,1733035.1144
470,1732203.83681
471,1731366.60846
472,1730523.42063
473,1729674.26446
474,1728819.13098
475,1727958.01107
476,1727090.89549
477,1726217.77489
478,1725338.63977
479,1724453.4805
480,1723562.28733
481,1722665.05036
482,1721761.75958
483,1720852.40484
484,1719936.97586
485,1719015.46221
486,1718087.85335
487,1717154.13858
488,1716214.30708
489,1715268.3479
490,1714316.24995
491,1713358.00197
492,1712393.59261
493,1711423.01036
494,1710446.24356
495,1709463.28042
496,1708474.10901
497,1707478.71726
498,1706477.09295
499,1705469.22373
500,1704455.09707
501,1703434.70035
502,1702408.02076
503,1701375.04536
504,1700335.76107
505,1699290.15463
506,1698238.21267
507,1697179.92165
508,1696115.26788
509,1695044.23752
510,1693966.81658
511,1692882.99091
512,1691792.7462
513,1690696.068
514,1689592.94169
515,1688483.3525
516,1687367.28551
517,1686244.72561
518,1685115.65756
519,1683980.06594
520,1682837.93517
521,1681689.24952
522,1680533.99307
523,1679372.14976
524,1678203.70334
525,1677028.63741
526,1675846.93538
527,1674658.5805
528,1673463.55586
529,1672261.84436
530,1671053.42872
531,1669838.29151
532,1668616.41509
533,1667387.78167
534,1666152.37326
535,1664910.1717
536,1663661.15865
537,1662405.31557
538,1661142.62375
539,1659873.06429
540,1658596.6181
541,1657313.2659
542,1656022.98822
543,1654725.7654
544,1653421.57757
545,1652110.4047
546,1650792.22652
547,1649467.02259
548,1648134.77226
549,1646795.45467
550,1645449.04879
551,1644095.53334
552,1642734.88686
553,1641367.08767
554,1639992.1139
555,1638609.94343
556,1637220.55396
557,1635823.92296
558,1634420.02769
559,1633008.84518
560,1631590.35225
561,1630164.52549
562,1628731.34125
563,1627290.77569
564,1625842.80471
565,1624387.40399
566,1622924.54897
567,1621454.21486
568,1619976.37664
569,1618491.00904
570,1616998.08655
571,1615497.58341
572,1613989.47363
573,1612473.73096
574,1610950.3289
575,1609419.2407
576,1607880.43935
577,1606333.89758
578,1604779.58789
579,1603217.48246
580,1601647.55326
581,1600069.77196
582,1598484.10998
583,1596890.53844
584,1595289.02821
585,1593679.54987
586,1592062.07373
587,1590436.5698
588,1588803.00781
589,1587161.35721
590,1585511.58714
591,1583853.66647
592,1582187.56375
593,1580513.24724
594,1578830.68488
595,1577139.84433
596,1575440.69291
597,1573733.19766
598,1572017.32527
599,1570293.04213
600,1568560.3143
601,1566819.10751
602,1565069.38718
603,1563311.11837
604,1561544.26582
605,1559768.79392
606,1557984.66671
607,1556191.84791
608,1554390.30087
609,1552579.98857
610,1550760.87365
611,1548932.91839
612,1547096.08469
613,1545250.33408
614,1543395.62774
615,1541531.92642
616,1539659.19054
617,1537777.3801
618,1535886.45471
619,1533986.37361
620,1532077.0956
621,1530158.5791
622,1528230.78212
623,1526293.66224
624,1524347.17664
625,1522391.28206
626,1520425.93482
627,1518451.0908
628,1516466.70544
629,1514472.73374
630,1512469.13026
631,1510455.84909
632,1508432.84387
633,1506400.06776
634,1504357.47346
635,1502305.0132
636,1500242.63871
637,1498170.30126
638,1496087.95159
639,1493995.53997
640,1491893.01615
641,1489780.32936
642,1487657.42834
643,1485524.26127
644,1483380.77583
645,1481226.91914
646,1479062.63779
647,1476887.8778
648,1474702.58466
649,1472506.70327
650,1470300.17797
651,1468082.95252
652,1465854.97008
653,1463616.17323
654,1461366.50395
655,1459105.9036
656,1456834.31293
657,1454551.67206
658,1452257.92047
659,1449952.99701
660,1447636.83988
661,1445309.38661
662,1442970.57407
663,1440620.33845
664,1438258.61526
665,1435885.3393
666,1433500.4447
667,1431103.86484
668,1428695.53239
669,1426275.37929
670,1423843.33673
671,1421399.33517
672,1418943.30427
673,1416475.17295
674,1413994.86932
675,1411502.32071
676,1408997.45364
677,1406480.19381
678,1403950.46609
679,1401408.19451
680,1398853.30226
681,1396285.71164
682,1393705.3441
683,1391112.12017
684,1388505.95951
685,1385886.78084
686,1383254.50196
687,1380609.03972
688,1377950.31004
689,1375278.22784
690,1372592.70707
691,1369893.66068
692,1367181.0006
693,1364454.63774
694,1361714.48196
695,1358960.44206
696,1356192.42578
697,1353410.33973
698,1350614.08946
699,1347803.57936
700,1344978.71268
701,1342139.39154
702,1339285.51684
703,1336416.98831
704,1333533.70447
705,1330635.56258
706,1327722.45866
707,1324794.28747
708,1321850.94246
709,1318892.31577
710,1315918.29822
711,1312928.77925
712,1309923.64693
713,1306902.78794
714,1303866.08754
715,1300813.42952
716,1297744.69623
717,1294659.76851
718,1291558.52568
719,1288440.84553
720,1285306.60427
721,1282155.67652
722,1278987.93527
723,1275803.25187
724,1272601.496
725,1269382.53561
726,1266146.23695
727,1262892.46448
728,1259621.08087
729,1256331.94697
730,1253024.92176
731,1249699.86236
732,1246356.62394
733,1242995.05973
734,1239615.02094
735,1236216.3568
736,1232798.91445
737,1229362.53892
738,1225907.07313
739,1222432.35782
740,1218938.23149
741,1215424.53041
742,1211891.08855
743,1208337.73754
744,1204764.30662
745,1201170.62262
746,1197556.50987
747,1193921.79022
748,1190266.28293
749,1186589.80466
750,1182892.16939
751,1179173.1884
752,1175432.67021
753,1171670.4205
754,1167886.2421
755,1164079.93489
756,1160251.29578
757,1156400.11862
758,1152526.19417
759,1148629.31001
760,1144709.2505
761,1140765.7967
762,1136798.7263
763,1132807.81358
764,1128792.82931
765,1124753.54069
766,1120689.71129
767,1116601.10093
768,1112487.46567
769,1108348.55767
770,1104184.12515
771,1099993.91229
772,1095777.65913
773,1091535.10152
774,1087265.97099
775,1082969.99467
776,1078646.89523
777,1074296.39073
778,1069918.19454
779,1065512.01526
780,1061077.55657
781,1056614.51715
782,1052122.59059
783,1047601.46521
784,1043050.82401
785,1038470.34452
786,1033859.69864
787,1029218.55259
788,1024546.56672
789,1019843.39538
790,1015108.68679
791,1010342.0829
792,1005543.21926
793,1000711.7248
794,995847.221761
795,990949.325466
796,986017.64419
797,981051.778974
798,976051.323453
799,971015.863675
